subject_id,p_1k1b_NLL,p_1k1b_AIC,p_1k1b_BIC,p_1k2b_NLL,p_1k2b_AIC,p_1k2b_BIC,p_2k1b_NLL,p_2k1b_AIC,p_2k1b_BIC,p_2k2b_NLL,p_2k2b_AIC,p_2k2b_BIC,l_1k1b_NLL,l_1k1b_AIC,l_1k1b_BIC,l_1k2b_NLL,l_1k2b_AIC,l_1k2b_BIC,l_2k1b_NLL,l_2k1b_AIC,l_2k1b_BIC,l_2k2b_NLL,l_2k2b_AIC,l_2k2b_BIC,h_1k1b_NLL,h_1k1b_AIC,h_1k1b_BIC,h_1k2b_NLL,h_1k2b_AIC,h_1k2b_BIC,h_2k1b_NLL,h_2k1b_AIC,h_2k1b_BIC,h_2k2b_NLL,h_2k2b_AIC,h_2k2b_BIC,grupo
3228,17.3543561952642,38.7087123905285,42.4511144123442,25.306308721814,56.612617443628,62.2262204763517,17.3543561952642,40.7087123905284,46.3223154232521,25.3063087218057,58.6126174436113,66.0974214872429,10.9783787954622,25.9567575909244,29.6991596127401,22.1180897819316,50.2361795638631,55.8497825965868,14.6228081786831,35.2456163573661,40.8592193900898,22.1180897818962,52.2361795637924,59.7209836074239,12.5747068046148,29.1494136092296,32.8918156310454,21.6449381334613,49.2898762669225,54.9034792996462,14.4487390168768,34.8974780337536,40.5110810664773,21.6449381121157,51.2898762242313,58.7746802678629,1
3472,11.0903629898558,26.1807259797115,29.9231280015273,21.4876036300066,48.9752072600132,54.5888102927369,11.0903565344363,28.1807130688725,33.7943161015962,21.4876000736425,50.9752001472849,58.4600041909165,5.92446992823889,15.8489398564778,19.5913418782936,20.1728495105939,46.3456990211878,51.9593020539115,9.77564180219538,25.5512836043908,31.1648866371144,20.1728495105982,48.3456990211964,55.830503064828,-0,4,7.74240202181578,15.9423851528787,37.8847703057575,43.4983733384812,-0,6,11.6136030327237,15.9423851528787,39.8847703057575,47.369574349389,0
3624,18.0054097912003,40.0108195824007,43.7532216042164,24.8424222647151,55.6848445294301,61.2984475621538,19.7743893113822,45.5487786227643,51.162381655488,24.842422264715,57.6848445294301,65.1696485730617,17.2173185541148,38.4346371082295,42.1770391300453,23.3980393792442,52.7960787584885,58.4096817912121,18.6736929171422,43.3473858342844,48.9609888670081,23.3980393798194,54.7960787596389,62.2808828032704,17.6182130741388,39.2364261482777,42.9788281700935,24.1096096714364,54.2192193428727,59.8328223755964,20.7425534605574,47.4851069211148,53.0987099538385,24.1096096715952,56.2192193431905,63.704023386822,0
3771,20.8377686222755,45.675537244551,49.4179392663668,26.2858974312318,58.5717948624636,64.1853978951873,20.8377690022774,47.6755380045548,53.2891410372785,26.2858958310442,60.5717916620884,68.05659570572,7.55043990812142,19.1008798162428,22.8432818380586,20.4693887627403,46.9387775254806,52.5523805582043,16.4367633643777,38.8735267287553,44.487129761479,20.4693887627252,48.9387775254504,56.4235815690819,12.0507213543443,28.1014427086885,31.8438447305043,22.5318318771466,51.0636637542932,56.6772667870168,18.0307918295337,42.0615836590674,47.6751866917911,22.53183161621,53.06366323242,60.5484672760515,1
3928,15.0034873045652,34.0069746091304,37.7493766309461,18.7149757481505,43.4299514963011,49.0435545290248,15.0034873045575,36.006974609115,41.6205776418387,18.71498282248,45.42996564496,52.9147696885915,10.3067520752096,24.6135041504193,28.3559061722351,13.8629436111989,33.7258872223978,39.3394902551215,8.90814028459359,23.8162805691872,29.4298836019108,13.8629436111989,35.7258872223978,43.2106912660294,13.8204236339625,31.640847267925,35.3832492897408,13.8629436111989,33.7258872223978,39.3394902551215,10.1565785862282,26.3131571724563,31.92676020518,13.8629436111989,35.7258872223978,43.2106912660294,1
4164,23.2331044492064,50.4662088984128,54.2086109202286,18.7149818601414,43.4299637202828,49.0435667530064,23.2331044491927,52.4662088983854,58.079811931109,18.7149832136989,45.4299664273979,52.9147704710294,18.5173014633828,41.0346029267656,44.7770049485814,15.2492379723188,36.4984759446376,42.1120789773613,14.7412511379598,35.4825022759196,41.0961053086433,15.2492379723188,38.4984759446376,45.9832799882692,21.7402685854928,47.4805371709856,51.2229391928013,15.2492379723188,36.4984759446376,42.1120789773613,17.4775318038544,40.9550636077088,46.5686666404325,15.2492379723188,38.4984759446376,45.9832799882692,0
4231,23.9793740546331,51.9587481092661,55.7011501310819,30.4749106980615,66.9498213961229,72.5634244288466,23.979374054601,53.9587481092019,59.5723511419256,30.4749118980444,68.9498237960887,76.4346278397203,18.058892815419,40.117785630838,43.8601876526538,28.8593514850724,63.7187029701448,69.3323060028685,23.9351509680666,53.8703019361331,59.4839049688568,28.8593514849076,65.7187029698151,73.2035070134467,22.8222234602234,49.6444469204468,53.3868489422626,30.3404090362611,66.6808180725221,72.2944211052458,23.0495998305945,52.099199661189,57.7128026939127,30.3404090367238,68.6808180734476,76.1656221170792,0
4241,13.3686953495303,30.7373906990605,34.4797927208763,18.7149818746584,43.4299637493169,49.0435667820405,13.3686953495436,32.7373906990872,38.3509937318108,18.7149802751761,45.4299605503523,52.9147645939838,5.28963100594672,14.5792620118934,18.3216640337092,14.5560907917589,35.1121815835177,40.7257846162414,8.54146422310841,23.0829284462168,28.6965314789405,14.5560907917589,37.1121815835177,44.5969856271493,7.00433862211367,18.0086772442273,21.7510792660431,14.5560907917589,35.1121815835177,40.7257846162414,9.18680809303014,24.3736161860603,29.9872192187839,14.5560907917589,37.1121815835177,44.5969856271493,1
4625,29.4375838012072,62.8751676024144,66.6175696242302,29.8053290762973,65.6106581525945,71.2242611853182,29.8053291640743,65.6106583281486,71.2242613608722,29.8053641891518,67.6107283783036,75.0955324219352,29.1454773976082,62.2909547952164,66.0333568170322,29.7987043631473,65.5974087262946,71.2110117590183,29.2923000298434,64.5846000596868,70.1982030924105,29.7987043631419,67.5974087262837,75.0822127699153,29.2442246053068,62.4884492106136,66.2308512324294,29.7467947354949,65.4935894709898,71.1071925037135,29.1764549814349,64.3529099628698,69.9665129955935,29.7467947355054,67.4935894710108,74.9783935146424,1
4920,11.0903730335774,26.1807460671548,29.9231480889706,21.4875673818703,48.9751347637407,54.5887377964643,11.0903632543686,28.1807265087372,33.7943295414609,21.4875942475049,50.9751884950099,58.4599925386414,-0,4,7.74240202181578,15.9423851528787,37.8847703057575,43.4983733384812,5.54517744447956,17.0903548889591,22.7039579216828,15.9423851528787,39.8847703057575,47.369574349389,-0,4,7.74240202181578,15.9423851528787,37.8847703057575,43.4983733384812,5.54517744447956,17.0903548889591,22.7039579216828,15.9423851528787,39.8847703057575,47.369574349389,0
